ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",51.3,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947540,2.1.3.3.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947547,2.1.3.4.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",14.0,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947547,2.1.3.4.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",18.1,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947547,2.1.3.4.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",13.1,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947554,2.1.3.5.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.2,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947554,2.1.3.5.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.7,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947554,2.1.3.5.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,11.5,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947596,2.1.3.11.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,15.1,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947596,2.1.3.11.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,17.5,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947596,2.1.3.11.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,13.6,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947603,2.1.3.12.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,19.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947603,2.1.3.12.4,,,1
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000210,Percent,239,units,0,v1806947603,2.1.3.12.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",19.3,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947624,2.1.3.15.4,,,1
