ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Females,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",71.6,66.8,76.0,percent,percent,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, family",10.8,8.6,13.3,percent,percent,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",23.0,19.7,26.7,percent,percent,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, health",4.3,2.6,6.8,percent,percent,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, none",5.3,3.7,7.5,percent,percent,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, other",1.9,1.2,3.1,percent,percent,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",13.1,9.6,17.7,percent,percent,E
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",18.6,15.1,22.7,percent,percent,
2016,2016,Alberta,Females,18 to 34 years,"Main source of stress in day-to-day life, work",23.0,19.5,27.0,percent,percent,
2016,2016,Alberta,Females,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",90.0,86.7,92.6,percent,percent,
2016,2016,Alberta,Females,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",79.8,75.1,83.8,percent,percent,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, family",21.0,16.7,26.2,percent,percent,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",23.7,19.4,28.7,percent,percent,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, health",5.5,3.9,7.8,percent,percent,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, none",7.1,4.4,11.5,percent,percent,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, other",1.0,0.5,1.7,percent,percent,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",18.9,15.4,23.0,percent,percent,
