ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-04,2021,Ontario,Women,Fair or poor perceived health,12.3,10.6,14.2,percent,percent,
2021-04,2021,Ontario,Women,Good perceived health,35.3,32.5,38.1,percent,percent,
2021-04,2021,Prairies Region,Men,Excellent or very good perceived health,60.1,56.0,64.0,percent,percent,
2021-04,2021,Prairies Region,Men,Fair or poor perceived health,9.7,7.7,12.1,percent,percent,
2021-04,2021,Prairies Region,Men,Good perceived health,30.2,26.5,34.2,percent,percent,
2021-04,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,56.8,54.1,59.4,percent,percent,
2021-04,2021,Prairies Region,"Total, all persons",Fair or poor perceived health,11.4,9.9,13.1,percent,percent,
2021-04,2021,Prairies Region,"Total, all persons",Good perceived health,31.8,29.3,34.5,percent,percent,
2021-04,2021,Prairies Region,Women,Excellent or very good perceived health,53.5,49.9,57.0,percent,percent,
2021-04,2021,Prairies Region,Women,Fair or poor perceived health,13.1,10.8,15.8,percent,percent,
2021-04,2021,Prairies Region,Women,Good perceived health,33.4,30.2,36.9,percent,percent,
2021-04,2021,Prince Edward Island,Men,Excellent or very good perceived health,57.0,48.7,64.9,percent,percent,
2021-04,2021,Prince Edward Island,Men,Fair or poor perceived health,12.2,8.0,18.3,percent,percent,
2021-04,2021,Prince Edward Island,Men,Good perceived health,30.8,23.3,39.5,percent,percent,
2021-04,2021,Prince Edward Island,"Total, all persons",Excellent or very good perceived health,55.0,49.6,60.4,percent,percent,
2021-04,2021,Prince Edward Island,"Total, all persons",Fair or poor perceived health,13.1,9.9,17.2,percent,percent,
2021-04,2021,Prince Edward Island,"Total, all persons",Good perceived health,31.9,26.9,37.3,percent,percent,
2021-04,2021,Prince Edward Island,Women,Excellent or very good perceived health,53.2,46.2,60.1,percent,percent,
2021-04,2021,Prince Edward Island,Women,Fair or poor perceived health,13.9,9.5,19.9,percent,percent,
2021-04,2021,Prince Edward Island,Women,Good perceived health,32.9,26.8,39.5,percent,percent,
2021-04,2021,Quebec,Men,Excellent or very good perceived health,67.3,63.8,70.6,percent,percent,
2021-04,2021,Quebec,Men,Fair or poor perceived health,8.0,6.4,10.0,percent,percent,
2021-04,2021,Quebec,Men,Good perceived health,24.7,21.7,27.9,percent,percent,
2021-04,2021,Quebec,"Total, all persons",Excellent or very good perceived health,61.5,58.9,64.0,percent,percent,
2021-04,2021,Quebec,"Total, all persons",Fair or poor perceived health,9.3,8.1,10.8,percent,percent,
2021-04,2021,Quebec,"Total, all persons",Good perceived health,29.2,26.8,31.7,percent,percent,
2021-04,2021,Quebec,Women,Excellent or very good perceived health,55.7,51.9,59.4,percent,percent,
2021-04,2021,Quebec,Women,Fair or poor perceived health,10.7,8.8,12.9,percent,percent,
2021-04,2021,Quebec,Women,Good perceived health,33.7,30.0,37.5,percent,percent,
2021-04,2021,Saskatchewan,Men,Excellent or very good perceived health,57.5,50.0,64.7,percent,percent,
2021-04,2021,Saskatchewan,Men,Fair or poor perceived health,10.9,7.5,15.6,percent,percent,
2021-04,2021,Saskatchewan,Men,Good perceived health,31.6,24.9,39.1,percent,percent,
2021-04,2021,Saskatchewan,"Total, all persons",Excellent or very good perceived health,53.2,48.0,58.4,percent,percent,
2021-04,2021,Saskatchewan,"Total, all persons",Fair or poor perceived health,11.0,8.6,14.0,percent,percent,
2021-04,2021,Saskatchewan,"Total, all persons",Good perceived health,35.8,30.9,41.0,percent,percent,
2021-04,2021,Saskatchewan,Women,Excellent or very good perceived health,48.9,41.9,55.9,percent,percent,
2021-04,2021,Saskatchewan,Women,Fair or poor perceived health,11.1,7.8,15.6,percent,percent,
2021-04,2021,Saskatchewan,Women,Good perceived health,40.0,33.3,47.1,percent,percent,
2021-07,2021,Alberta,Men,Excellent or very good perceived health,60.0,54.3,65.4,percent,percent,
2021-07,2021,Alberta,Men,Fair or poor perceived health,13.4,9.7,18.2,percent,percent,
2021-07,2021,Alberta,Men,Good perceived health,26.6,22.0,31.7,percent,percent,
2021-07,2021,Alberta,"Total, all persons",Excellent or very good perceived health,56.8,52.7,60.8,percent,percent,
2021-07,2021,Alberta,"Total, all persons",Fair or poor perceived health,11.4,9.1,14.2,percent,percent,
2021-07,2021,Alberta,"Total, all persons",Good perceived health,31.8,28.0,35.9,percent,percent,
2021-07,2021,Alberta,Women,Excellent or very good perceived health,53.6,47.5,59.5,percent,percent,
2021-07,2021,Alberta,Women,Fair or poor perceived health,9.4,7.0,12.4,percent,percent,
2021-07,2021,Alberta,Women,Good perceived health,37.1,31.2,43.4,percent,percent,
2021-07,2021,Atlantic Region,Men,Excellent or very good perceived health,61.0,57.0,64.8,percent,percent,
2021-07,2021,Atlantic Region,Men,Fair or poor perceived health,12.1,9.7,15.0,percent,percent,
2021-07,2021,Atlantic Region,Men,Good perceived health,26.9,23.4,30.7,percent,percent,
2021-07,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,55.2,52.4,58.0,percent,percent,
2021-07,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,15.9,14.0,18.1,percent,percent,
2021-07,2021,Atlantic Region,"Total, all persons",Good perceived health,28.9,26.5,31.4,percent,percent,
2021-07,2021,Atlantic Region,Women,Excellent or very good perceived health,49.7,45.8,53.7,percent,percent,
2021-07,2021,Atlantic Region,Women,Fair or poor perceived health,19.5,16.6,22.8,percent,percent,
2021-07,2021,Atlantic Region,Women,Good perceived health,30.8,27.3,34.4,percent,percent,
2021-07,2021,British Columbia,Men,Excellent or very good perceived health,55.6,50.6,60.5,percent,percent,
2021-07,2021,British Columbia,Men,Fair or poor perceived health,13.9,10.8,17.6,percent,percent,
2021-07,2021,British Columbia,Men,Good perceived health,30.5,26.1,35.3,percent,percent,
2021-07,2021,British Columbia,"Total, all persons",Excellent or very good perceived health,54.2,50.5,57.8,percent,percent,
2021-07,2021,British Columbia,"Total, all persons",Fair or poor perceived health,13.9,11.5,16.7,percent,percent,
2021-07,2021,British Columbia,"Total, all persons",Good perceived health,31.9,28.6,35.3,percent,percent,
2021-07,2021,British Columbia,Women,Excellent or very good perceived health,52.8,47.8,57.8,percent,percent,
2021-07,2021,British Columbia,Women,Fair or poor perceived health,14.0,10.7,18.1,percent,percent,
2021-07,2021,British Columbia,Women,Good perceived health,33.2,28.7,38.1,percent,percent,
2021-07,2021,Canada (excluding territories),Men,Excellent or very good perceived health,57.6,55.9,59.3,percent,percent,
2021-07,2021,Canada (excluding territories),Men,Fair or poor perceived health,12.7,11.5,14.1,percent,percent,
