ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2015,2015,British Columbia,Females,50 to 64 years,"Positive mental health, flourishing",78.5,74.4,82.6,percent,percent,
2015,2015,British Columbia,Females,50 to 64 years,Suicidal thoughts (15 years and over),13.9,10.4,17.3,percent,percent,
2015,2015,British Columbia,Females,65 years and over,Consultation with a health professional about emotional or mental health,13.8,10.8,16.8,percent,percent,
2015,2015,British Columbia,Females,65 years and over,"Positive mental health, flourishing",83.9,80.8,87.1,percent,percent,
2015,2015,British Columbia,Females,65 years and over,Suicidal thoughts (15 years and over),10.5,7.9,13.0,percent,percent,
2015,2015,British Columbia,Females,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,18.7,16.9,20.5,percent,percent,
2015,2015,British Columbia,Females,"Total, 12 years and over","Positive mental health, flourishing",81.1,79.1,83.0,percent,percent,
2015,2015,British Columbia,Females,"Total, 12 years and over",Suicidal thoughts (15 years and over),14.7,12.9,16.4,percent,percent,
2015,2015,British Columbia,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,5.8,2.5,9.1,percent,percent,E
2015,2015,British Columbia,Males,12 to 17 years,"Positive mental health, flourishing",83.6,78.1,89.0,percent,percent,
2015,2015,British Columbia,Males,12 to 17 years,Suicidal thoughts (15 years and over),11.0,3.7,18.3,percent,percent,E
2015,2015,British Columbia,Males,18 to 34 years,Consultation with a health professional about emotional or mental health,9.7,6.8,12.6,percent,percent,E
2015,2015,British Columbia,Males,18 to 34 years,"Positive mental health, flourishing",78.3,73.8,82.8,percent,percent,
2015,2015,British Columbia,Males,18 to 34 years,Suicidal thoughts (15 years and over),11.7,8.2,15.2,percent,percent,E
2015,2015,British Columbia,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,11.7,8.7,14.7,percent,percent,
2015,2015,British Columbia,Males,35 to 49 years,"Positive mental health, flourishing",75.3,70.3,80.4,percent,percent,
2015,2015,British Columbia,Males,35 to 49 years,Suicidal thoughts (15 years and over),9.5,6.6,12.3,percent,percent,E
2015,2015,British Columbia,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,9.8,6.8,12.8,percent,percent,E
2015,2015,British Columbia,Males,50 to 64 years,"Positive mental health, flourishing",80.8,76.7,85.0,percent,percent,
2015,2015,British Columbia,Males,50 to 64 years,Suicidal thoughts (15 years and over),12.2,8.3,16.0,percent,percent,E
2015,2015,British Columbia,Males,65 years and over,Consultation with a health professional about emotional or mental health,4.9,3.1,6.7,percent,percent,E
